image_path,transcription,source,split
data/iam/iam_words/words\d04\d04-121\d04-121-05-02.png,seeking,iam,train
data/iam/iam_words/words\e06\e06-015\e06-015-03-06.png,see,iam,train
data/iam/iam_words/words\d06\d06-111\d06-111-03-08.png,can,iam,train
data/iam/iam_words/words\c06\c06-039\c06-039-04-06.png,into,iam,train
data/iam/iam_words/words\d07\d07-100\d07-100-09-02.png,the,iam,train
data/iam/iam_words/words\a06\a06-095\a06-095-03-02.png,by,iam,train
data/iam/iam_words/words\b05\b05-032\b05-032-03-06.png,you,iam,train
data/iam/iam_words/words\e02\e02-021\e02-021-06-13.png,as,iam,train
data/iam/iam_words/words\c03\c03-016d\c03-016d-04-02.png,learns,iam,train
data/iam/iam_words/words\a05\a05-009\a05-009-02-00.png,of,iam,train
data/synthetic/images/synth_00136.png,Syp. Paracetamol 120mg/5ml TID,synthetic,train
data/iam/iam_words/words\a05\a05-084\a05-084-07-05.png,Earl,iam,train
data/iam/iam_words/words\d07\d07-082\d07-082-01-03.png,Gemara,iam,train
data/iam/iam_words/words\c03\c03-016d\c03-016d-06-08.png,clumsily,iam,train
data/iam/iam_words/words\b06\b06-049\b06-049-09-01.png,the,iam,train
data/iam/iam_words/words\a05\a05-099\a05-099-05-04.png,suggested,iam,train
data/iam/iam_words/words\a03\a03-059\a03-059-04-07.png,review,iam,train
data/iam/iam_words/words\a05\a05-062\a05-062-00-04.png,authority,iam,train
data/iam/iam_words/words\b05\b05-032\b05-032-04-01.png,of,iam,train
data/iam/iam_words/words\c06\c06-095\c06-095-06-04.png,more,iam,train
data/iam/iam_words/words\e04\e04-030\e04-030-03-01.png,by,iam,train
data/iam/iam_words/words\a03\a03-080\a03-080-09-00.png,under,iam,train
data/iam/iam_words/words\c03\c03-096c\c03-096c-02-05.png,the,iam,train
data/iam/iam_words/words\e02\e02-000\e02-000-01-05.png,period,iam,train
data/iam/iam_words/words\a04\a04-081\a04-081-07-02.png,contribution,iam,train
data/iam/iam_words/words\a03\a03-047\a03-047-00-06.png,see,iam,train
data/iam/iam_words/words\e01\e01-081\e01-081-04-02.png,linen,iam,train
data/iam/iam_words/words\b06\b06-036\b06-036-00-08.png,must,iam,train
data/iam/iam_words/words\b06\b06-045\b06-045-02-07.png,unity,iam,train
data/iam/iam_words/words\b05\b05-042\b05-042-02-07.png,coupled,iam,train
data/iam/iam_words/words\c04\c04-139\c04-139-00-00.png,They,iam,train
data/iam/iam_words/words\d03\d03-117\d03-117-08-04.png,the,iam,train
data/iam/iam_words/words\c04\c04-004\c04-004-02-00.png,Hollywood,iam,train
data/iam/iam_words/words\a02\a02-053\a02-053-03-08.png,the,iam,train
data/iam/iam_words/words\a01\a01-003u\a01-003u-10-00.png,which,iam,train
data/iam/iam_words/words\a02\a02-072\a02-072-00-06.png,agree,iam,train
data/iam/iam_words/words\a05\a05-094\a05-094-02-02.png,match,iam,train
data/iam/iam_words/words\b04\b04-147\b04-147-05-05.png,By,iam,train
data/iam/iam_words/words\c02\c02-017\c02-017-03-06.png,be,iam,train
data/iam/iam_words/words\d04\d04-032\d04-032-07-04.png,is,iam,train
data/iam/iam_words/words\b04\b04-134\b04-134-09-03.png,time,iam,train
data/iam/iam_words/words\c02\c02-030\c02-030-02-01.png,returns,iam,train
data/iam/iam_words/words\e04\e04-083\e04-083-00-06.png,be,iam,train
data/iam/iam_words/words\b06\b06-079\b06-079-09-02.png,an,iam,train
data/iam/iam_words/words\d01\d01-016\d01-016-01-07.png,paying,iam,train
data/iam/iam_words/words\a04\a04-054\a04-054-04-08.png,on,iam,train
data/iam/iam_words/words\c03\c03-003a\c03-003a-01-03.png,terms,iam,train
data/iam/iam_words/words\a05\a05-048\a05-048-03-07.png,years,iam,train
data/iam/iam_words/words\a03\a03-020\a03-020-03-00.png,Laos,iam,train
data/iam/iam_words/words\b05\b05-042\b05-042-08-04.png,being,iam,train
data/iam/iam_words/words\c03\c03-087c\c03-087c-06-03.png,in,iam,train
data/iam/iam_words/words\c03\c03-084d\c03-084d-01-03.png,full,iam,train
data/iam/iam_words/words\a02\a02-004\a02-004-10-00.png,safeguard,iam,train
data/iam/iam_words/words\a06\a06-004\a06-004-03-05.png,the,iam,train
data/iam/iam_words/words\e06\e06-010\e06-010-01-03.png,at,iam,train
data/iam/iam_words/words\b04\b04-175\b04-175-07-08.png,to,iam,train
data/iam/iam_words/words\b05\b05-067\b05-067-05-01.png,knowledge,iam,train
data/iam/iam_words/words\a02\a02-004\a02-004-01-02.png,Minister,iam,train
data/iam/iam_words/words\c03\c03-094d\c03-094d-01-04.png,Sheila,iam,train
data/iam/iam_words/words\c04\c04-004\c04-004-00-11.png,in,iam,train
data/iam/iam_words/words\a01\a01-007u\a01-007u-03-08.png,it,iam,train
data/iam/iam_words/words\a01\a01-058u\a01-058u-03-05.png,that,iam,train
data/iam/iam_words/words\a04\a04-099\a04-099-06-05.png,our,iam,train
data/iam/iam_words/words\a05\a05-039\a05-039-01-06.png,Verwoerd,iam,train
data/iam/iam_words/words\b06\b06-059\b06-059-09-05.png,Scarborough,iam,train
data/iam/iam_words/words\c04\c04-066\c04-066-08-00.png,record,iam,train
